Names,emails,Country,Time Spent on Site,Salary,Clicked
Martina Avila,cubilia.Curae.Phasellus@quisaccumsanconvallis.edu,Bulgaria,25.64964796,55330.06006,0
Harlan Barnes,eu.dolor@diam.co.uk,Belize,32.4561067,79049.07674,1
Naomi Rodriquez,vulputate.mauris.sagittis@ametconsectetueradipiscing.co.uk,Algeria,20.9459779,41098.60826,0
Jade Cunningham,malesuada@dignissim.com,Cook Islands,54.03932483,37143.35536,1
Cedric Leach,felis.ullamcorper.viverra@egetmollislectus.net,Brazil,34.24972885,37355.11276,0
Carla Hester,mi@Aliquamerat.edu,Liberia,52.009946,80642.65222,1
Griffin Rivera,vehicula@at.co.uk,Syria,42.88136962,61908.39815,1
Orli Casey,nunc.est.mollis@Suspendissetristiqueneque.co.uk,Czech Republic,25.67691961,29851.41153,0
Marny Obrien,Phasellus@sedsemegestas.org,Armenia,40.69823258,34281.11878,1
Rhonda Chavez,nec@nuncest.com,Somalia,29.68736186,41098.87881,0
Jerome Rowe,ipsum.cursus@dui.org,Sint Maarten,33.27257201,54127.01715,0
Akeem Gibson,turpis.egestas.Fusce@purus.edu,Greenland,34.53089789,30221.93714,0
Quin Smith,nulla@ipsum.edu,Nicaragua,25.31369521,43763.99758,0
Tatum Moon,Cras.sed.leo@Seddiamlorem.ca,"Palestine, State of",46.54070821,48663.49468,1
Sharon Sharpe,eget.metus@aaliquetvel.co.uk,United Arab Emirates,37.71658186,64695.977,1
Thomas Williams,aliquet.molestie@ut.org,Gabon,25.05678222,17759.93385,0
Blaine Bender,ultrices.posuere.cubilia@pedenonummyut.net,Tokelau,41.09596023,49463.3813,1
Stephen Lindsey,erat.eget.ipsum@tinciduntpede.org,Portugal,24.76156334,38484.42318,0
Sloane Mann,at.augue@augue.net,Chad,48.87017547,34774.44407,1
Athena Wolf,volutpat.Nulla.facilisis@primis.ca,Iraq,27.83383193,51644.4933,0
Blythe Romero,Sed.eu@risusNuncac.co.uk,Sudan,17.10357571,61661.76519,0
Zelenia Byers,auctor.non@sapien.co.uk,Angola,25.59779568,53630.76377,0
Nola Wiggins,Aliquam@augue.edu,Nigeria,42.24918966,32215.0995,1
Micah Wheeler,arcu.eu@tincidunt.org,Madagascar,37.13592176,51733.65722,1
Caryn Hendrix,condimentum.Donec@duiCum.com,Macedonia,32.44311107,51677.69904,0
Hedda Miranda,scelerisque@magnased.com,Oman,19.93667384,34263.78853,0
Ulric Lynn,sociis@vulputateveliteu.com,Colombia,39.82053932,70503.3132,1
Alma Pope,Nunc.mauris.Morbi@turpis.org,Namibia,30.728855,67022.27302,1
Gemma Hendrix,lobortis@non.co.uk,Denmark,24.04358267,36474.7097,1
Castor Wood,velit.Pellentesque@Nulla.net,Dominican Republic,39.05603564,29178.36101,0
Herman Stevenson,sociosqu.ad.litora@erat.com,Costa Rica,31.24695278,76064.38371,1
Adrienne Bolton,dictum@magnaPraesent.ca,Botswana,36.05739686,65202.91009,1
