id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787,5
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,$37891,$77254,$191349,701,5
1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,$22681,$33483,$196,698,5
708,63,63,1957,1,Female,3 Madison Street,40.71,-73.99,$163145,$249925,$202328,722,4
1164,43,70,1976,9,Male,9620 Valley Stream Drive,37.76,-122.44,$53797,$109687,$183855,675,1
68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,$20599,$41997,$0,704,3
1075,36,67,1983,12,Female,5695 Fifth Street,38.22,-85.74,$25258,$51500,$102286,672,3
1711,26,67,1993,12,Male,1941 Ninth Street,45.51,-122.64,$26790,$54623,$114711,728,1
1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,$26273,$42509,$2895,755,5
1752,34,60,1986,1,Female,887 Grant Street,29.97,-92.12,$18730,$38190,$81262,810,1
192,27,66,1992,6,Male,888 Fifth Lane,38.65,-121.25,$27548,$56164,$15224,761,2
640,29,63,1990,9,Female,8677 Littlewood Lane,40.42,-104.74,$22427,$45727,$94016,629,1
1679,18,67,2002,1,Female,829 Fourth Boulevard,41.76,-71.48,$33914,$69149,$89214,776,1
1094,34,62,1985,10,Male,74786 Jefferson Drive,44.75,-85.6,$20325,$41442,$78833,712,3
1590,48,62,1971,5,Female,781 East Street,29.45,-98.5,$10059,$20513,$32509,599,1
1660,41,68,1978,4,Female,40 Washington Drive,36.73,-102.51,$11342,$23123,$5079,723,6
1747,54,71,1966,1,Male,3994 Hillside Drive,32.15,-94.79,$17898,$36497,$38333,719,6
153,76,71,1943,8,Female,172 Birch Street,35.29,-111.32,$21950,$27484,$16803,660,4
429,22,68,1997,11,Male,8145 Spruce Boulevard,35.19,-80.83,$26481,$53995,$89056,683,3
511,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,$17460,$35602,$55369,661,5
309,28,57,1991,8,Male,2473 Lake Avenue,32.07,-82.91,$12321,$25122,$43205,819,3
777,18,65,2002,1,Male,970 Essex Drive,37.37,-122.21,$106305,$216740,$0,700,2
1946,76,66,1943,6,Male,9186 Washington Avenue,41.47,-81.67,$19524,$41109,$21486,698,2
1674,70,64,1949,4,Male,5073 Wessex Avenue,35.49,-90.35,$14172,$26858,$11245,712,2
482,45,65,1975,1,Male,195 Eighth Boulevard,42.39,-122.93,$17131,$34929,$63849,714,1
877,36,63,1983,8,Female,801 Mill Boulevard,33.44,-111.85,$16829,$34317,$61826,610,3
128,40,66,1979,4,Female,6914 Wessex Avenue,29.76,-95.38,$15389,$31377,$59615,722,2
775,37,58,1982,9,Male,776 Norfolk Boulevard,34.17,-118.46,$21402,$43638,$104052,627,1
1536,41,67,1978,11,Male,2015 Bayview Avenue,36.15,-85.5,$15955,$32531,$38260,766,2
140,37,72,1983,2,Female,108 Washington Street,36.28,-86.83,$20657,$42120,$72801,739,4
