First Name,Gender,Salary,Bonus %,Senior Management,Team
Douglas,Male,97308,6.945,TRUE,Marketing
Thomas,Male,61933,NaN,TRUE,
Maria,Female,130590,11.858,FALSE,Finance
Jerry,Male,NA,9.34,TRUE,Finance
Larry,Male,101004,1.389,TRUE,Client Services
Dennis,n.a.,115163,10.125,FALSE,Legal
Ruby,Female,65476,10.012,TRUE,Product
,Female,45906,11.598,,Finance
Angela,,,18.523,TRUE,Engineering
Frances,Female,139852,7.524,TRUE,Business Development
Louise,Female,63241,15.132,TRUE,
Julie,Female,102508,12.637,TRUE,Legal
Brandon,Male,112807,17.492,TRUE,Human Resources
Gary,Male,109831,5.831,FALSE,Sales
Kimberly,Female,41426,NaN,TRUE,Finance
Lillian,,59414,1.256,FALSE,Product
Jeremy,Male,90370,7.369,FALSE,Human Resources
Shawn,Male,111737,6.414,FALSE,na
Diana,Female,132940,19.082,FALSE,Client Services
Donna,Female,81014,1.894,FALSE,Product
Lois,,64714,4.934,TRUE,Legal
Matthew,Male,100612,13.645,FALSE,Marketing
Joshua,,90816,18.816,TRUE,Client Services
,Male,125792,5.042,,
John,Male,97950,13.873,FALSE,Client Services
,Male,37076,18.576,,Client Services
Craig,Male,37598,7.757,TRUE,Marketing
Scott,,122367,5.218,FALSE,Legal
Terry,Male,124008,13.464,TRUE,Client Services
Benjamin,Male,79529,7.008,TRUE,Legal
Christina,Female,118780,9.096,TRUE,Engineering
Joyce,,88657,12.752,FALSE,Product
,Male,122340,6.417,,
Jean,Female,119082,16.18,FALSE,Business Development
Jerry,Male,95734,19.096,FALSE,Client Services
Theresa,Female,85182,16.675,FALSE,Sales
Rachel,Female,142032,12.599,FALSE,Business Development
Linda,Female,57427,9.557,TRUE,Client Services
Stephanie,Female,36844,5.574,TRUE,Business Development
,Male,122173,7.797,,Client Services
Michael,Male,99283,2.665,TRUE,Distribution
Christine,,66582,11.308,TRUE,Business Development
Beverly,Female,121918,15.835,FALSE,Legal
Marilyn,Female,73524,5.207,TRUE,Marketing
Cynthia,Female,145146,7.482,TRUE,Product
Roger,Male,88010,13.886,TRUE,Sales
Bruce,Male,114796,6.796,FALSE,Finance
Kathy,Female,66820,NaN,TRUE,Client Services
Clarence,Male,93581,6.083,TRUE,Business Development
Chris,,113590,3.055,FALSE,Sales
Nancy,Female,94976,13.83,TRUE,Engineering
,,41126,14.009,,Sales
Todd,Male,49339,1.695,TRUE,na
Alan,,40341,17.578,TRUE,Finance
Sara,Female,83677,8.999,FALSE,Engineering
Karen,Female,102488,17.653,TRUE,Product
Carl,Male,130276,16.084,TRUE,Finance
?,Male,64715,15.107,TRUE,Human Resources
Theresa,Female,72670,1.481,TRUE,Engineering
Irene,Female,66851,11.279,FALSE,Engineering
Paula,,48866,4.271,FALSE,Distribution
Denise,Female,106862,3.699,FALSE,Business Development
,Female,58112,19.414,,Marketing
Matthew,Male,35203,18.04,FALSE,Human Resources
Kathleen,,77834,18.771,FALSE,Business Development
Steve,Male,61310,12.428,TRUE,Distribution
Nancy,Female,125250,2.672,TRUE,Business Development
Rachel,Female,51178,9.735,TRUE,Finance
Jose,Male,84834,14.33,TRUE,Finance
Irene,,100863,4.382,TRUE,Finance
Todd,,84692,6.617,FALSE,Client Services
Johnny,Male,118172,16.194,TRUE,Sales
Bobby,Male,54043,3.833,FALSE,Product
Frances,Female,90582,4.709,TRUE,Sales
Thomas,Male,62096,17.029,FALSE,Marketing
Bonnie,Female,104897,?,TRUE,Human Resources
Margaret,Female,131604,7.353,TRUE,Distribution
Charles,Male,107391,1.26,TRUE,Marketing
Robin,Female,114797,5.965,TRUE,Sales
NA,Female,115814,4.99,FALSE,Product
Gerald,,137126,15.602,TRUE,Sales
Christopher,Male,47369,14.822,FALSE,Legal
Steven,Male,35095,8.379,TRUE,Client Services
Shawn,Male,148115,6.539,TRUE,Finance
Doris,Female,83072,7.511,FALSE,Finance
Jeremy,Male,100238,3.887,TRUE,Client Services
Annie,,103495,17.29,TRUE,Business Development
Annie,Female,144887,8.276,TRUE,Sales
Donna,Female,64088,6.155,TRUE,Legal
Janice,Female,51082,11.955,FALSE,Legal
Janice,,91719,11.583,TRUE,Legal
James,,128771,8.309,FALSE,
Linda,Female,119009,12.506,TRUE,Business Development
Virginia,,111858,1.601,TRUE,Legal
Harry,Male,130620,7.03,FALSE,Legal
Heather,Female,43026,14.166,FALSE,Client Services
Cynthia,Female,142321,1.737,NaN,Finance
Laura,,140371,10.62,TRUE,Marketing
Tina,Female,100705,16.961,TRUE,Marketing
Harold,Male,77544,12.447,FALSE,Business Development
Melissa,Female,48109,14.995,FALSE,Finance
Aaron,Male,61602,11.849,TRUE,Marketing
Jack,Male,103902,12.159,FALSE,Client Services
Phyllis,Female,136984,8.932,TRUE,Finance
John,Male,80740,19.305,FALSE,Marketing
Kathy,Female,91712,8.567,FALSE,Finance
Paul,Male,42146,3.046,FALSE,Legal
Steven,Male,68680,16.565,FALSE,Legal
Russell,,133980,12.396,TRUE,Legal
Christopher,Male,37919,11.449,FALSE,
Shirley,Female,147113,16.135,FALSE,Legal
Bonnie,Female,42153,8.454,TRUE,Business Development
Willie,Male,64363,4.023,FALSE,Marketing
Tina,Female,114767,3.711,TRUE,Engineering
Ashley,Female,58698,6.811,TRUE,Business Development
Pamela,Female,54585,4.166,FALSE,Product
,Male,76189,18.988,,Legal
Steven,Male,109095,9.494,FALSE,Finance
Andrea,Female,120204,9.557,FALSE,Business Development
Paul,Male,41054,12.299,FALSE,Marketing
Peter,Male,84885,15.402,FALSE,Business Development
Kathleen,,119735,18.74,FALSE,Product
Christina,Female,110169,13.892,TRUE,Engineering
Helen,Female,73789,14.841,TRUE,Product
Marilyn,Female,76078,2.401,TRUE,Product
Patricia,Female,49368,14.226,FALSE,Human Resources
Michelle,Female,57325,17.179,TRUE,Human Resources
William,Male,66521,5.83,FALSE,Human Resources
Kenneth,Male,127654,16.439,TRUE,Client Services
Antonio,Male,60866,13.101,TRUE,Business Development
Shirley,Female,41334,6.219,TRUE,Human Resources
Rebecca,Female,94231,17.517,FALSE,Product
Carlos,Male,146670,10.763,FALSE,Human Resources
Lois,Female,106317,2.235,TRUE,Client Services
Carolyn,Female,109260,2.65,TRUE,Business Development
Gloria,Female,134148,8.833,TRUE,Legal
Henry,Male,43542,19.687,FALSE,Legal
Adam,Male,95327,15.12,FALSE,Distribution
Ashley,Female,112238,6.03,TRUE,Engineering
,Female,132373,10.527,,
Shirley,Female,113850,1.854,FALSE,Marketing
Adam,Male,110194,14.727,TRUE,Product
Elizabeth,Female,146129,5.687,FALSE,Finance
Teresa,,140013,8.689,TRUE,Engineering
Nicole,,122717,12.452,FALSE,Sales
Jennifer,Female,71715,13.079,TRUE,Client Services
Patricia,Female,95322,4.15,n.a.,Product
Philip,Male,89227,3.996,FALSE,Legal
Patrick,,124488,14.837,TRUE,Sales
,Female,86230,8.578,,Distribution
Sean,Male,135490,19.934,FALSE,Marketing
Brandon,,121333,15.295,FALSE,Business Development
Ruth,Female,129297,8.067,TRUE,Client Services
Victor,,84546,10.489,TRUE,Finance
Rebecca,Female,85730,5.359,TRUE,Product
